Unnamed: 0,city,latitude,logitude,temperature,pressure,humidity,wind_speed,cloudiness,country
77,lompoc,34.6391,-120.4579,15.33,1014.0,69.0,6.17,0.0,US
78,kimbe,-5.5502,150.1429,25.02,1010.0,94.0,2.01,93.0,PG
79,acajutla,13.5928,-89.8275,31.37,1010.0,62.0,4.77,3.0,SV
80,pearsall,28.8922,-99.095,33.66,1005.0,43.0,4.26,39.0,US
81,paradip garh,20.3167,86.6167,29.98,1000.0,79.0,4.13,59.0,IN
82,jiexiu,37.0244,111.9125,19.1,1011.0,74.0,2.51,99.0,CN
83,sisimiut,66.9395,-53.6735,0.76,1013.0,76.0,3.26,44.0,GL
84,northam,51.0333,-4.2167,13.48,1019.0,73.0,1.87,54.0,GB
85,olonkinbyen,70.9221,-8.7187,0.37,1022.0,90.0,4.64,100.0,SJ
86,whitehorse,60.7161,-135.0538,8.49,1006.0,72.0,1.34,100.0,CA
87,puerto natales,-51.7236,-72.4875,6.25,1029.0,56.0,2.06,0.0,CL
88,westport,41.1415,-73.3579,27.94,1010.0,35.0,4.63,0.0,US
89,aswan,24.0934,32.907,35.93,1009.0,13.0,8.75,0.0,EG
90,puerto ayora,-0.7393,-90.3518,27.98,1013.0,76.0,5.6,53.0,EC
91,arawa,-6.2132,155.5367,25.59,1011.0,94.0,1.99,98.0,PG
92,sikandarpur,26.05,84.05,34.88,1000.0,35.0,4.36,2.0,IN
93,james island,,,,,,,,
94,trinidad,-14.8333,-64.9,28.02,1014.0,53.0,4.19,74.0,BO
95,vorgashor,67.5833,63.95,-2.33,1005.0,96.0,9.02,100.0,RU
96,edinburgh of the seven seas,-37.0676,-12.3116,15.82,1025.0,84.0,8.23,89.0,SH
97,talnakh,69.4865,88.3972,-12.66,1018.0,100.0,0.07,88.0,RU
98,luderitz,-26.6481,15.1594,16.66,1017.0,68.0,5.88,0.0,
99,prince rupert,54.3161,-130.3201,9.05,1013.0,81.0,4.12,100.0,CA
100,bethel,41.3712,-73.414,27.61,1008.0,37.0,5.14,0.0,US
101,inverloch,-38.6333,145.7167,6.7,1027.0,93.0,3.54,100.0,AU
102,lebu,-37.6167,-73.65,10.31,1020.0,62.0,3.01,100.0,CL
103,qaqortoq,60.7167,-46.0333,2.34,1008.0,77.0,4.87,9.0,GL
104,ilhabela,-23.7781,-45.3581,25.96,1012.0,67.0,5.05,29.0,BR
105,san juan,-31.5375,-68.5364,9.44,1025.0,52.0,1.01,100.0,AR
106,vila franca do campo,37.7167,-25.4333,18.27,1017.0,99.0,5.1,63.0,PT
107,zaozersk,69.4005,32.4476,3.15,1017.0,69.0,15.48,74.0,RU
108,markovo,57.3206,107.0881,8.85,1017.0,92.0,0.42,93.0,RU
109,carnarvon,-24.8667,113.6333,21.45,1016.0,70.0,4.17,0.0,AU
110,georgetown,5.4112,100.3354,28.96,1008.0,89.0,0.0,20.0,MY
111,mabaruma,8.2,-59.7833,31.62,1011.0,56.0,3.23,98.0,GY
112,port elizabeth,-33.918,25.5701,17.4,1032.0,94.0,0.89,100.0,ZA
113,ust'-ilimsk,58.0006,102.6619,14.13,1016.0,77.0,1.55,30.0,RU
114,whangarei,-35.7317,174.3239,9.51,1011.0,96.0,1.88,9.0,NZ
115,gadzhiyevo,69.2551,33.3362,3.4,1017.0,70.0,14.05,96.0,RU
116,udachny,66.4167,112.4,10.8,1012.0,82.0,1.73,72.0,RU
117,zhengzhou,34.7578,113.6486,22.79,1012.0,62.0,5.54,99.0,CN
118,kulhudhuffushi,6.6221,73.07,29.5,1008.0,78.0,8.49,100.0,MV
119,vingt cinq,,,,,,,,
120,auki,-8.7676,160.7034,25.71,1010.0,92.0,1.56,81.0,SB
121,belomorsk,64.5232,34.7668,20.59,1017.0,47.0,10.14,55.0,RU
122,keflavik,64.0049,-22.5624,9.24,1004.0,93.0,18.01,100.0,IS
123,yangor,,,,,,,,
124,bejubang dua,,,,,,,,
125,ribeira grande,38.5167,-28.7,21.22,1016.0,68.0,6.69,40.0,PT
126,enewetak,11.3474,162.3373,27.71,1011.0,85.0,7.62,12.0,MH
127,brookings,44.3114,-96.7984,11.27,1002.0,85.0,10.29,100.0,US
128,obo,5.3998,26.4869,25.07,1010.0,67.0,1.57,65.0,CF
129,stribro,49.7529,13.0041,17.43,1016.0,100.0,0.71,55.0,CZ
130,jamestown,42.097,-79.2353,24.42,1013.0,36.0,4.63,0.0,US
131,hawaiian paradise park,19.5933,-154.9731,23.23,1020.0,84.0,2.06,75.0,US
132,arraial do cabo,-22.9661,-42.0278,29.92,1011.0,58.0,1.54,40.0,BR
133,nova vicosa,-17.8919,-39.3719,28.94,1014.0,44.0,5.73,4.0,BR
134,sandnessjoen,66.0217,12.6316,10.14,1023.0,71.0,7.72,0.0,NO
135,ilulissat,69.2167,-51.1,1.01,1014.0,69.0,2.06,40.0,GL
136,usakos,-22.0,15.6,22.3,1017.0,17.0,3.26,29.0,
137,espargos,,,,,,,,
138,farakka,24.8167,87.9,35.37,1000.0,34.0,1.26,2.0,IN
139,kachkanar,58.7,59.4948,3.16,1023.0,89.0,1.86,100.0,RU
140,papao,-17.75,-149.55,28.82,1017.0,87.0,10.45,71.0,PF
141,dixon,38.4455,-121.8233,19.51,1011.0,53.0,5.66,0.0,US
142,norilsk,69.3535,88.2027,-12.54,1018.0,99.0,1.72,84.0,RU
143,fort st. john,56.2499,-120.8529,16.16,1002.0,52.0,2.86,36.0,CA
144,vail,32.0479,-110.712,29.2,1008.0,8.0,2.35,10.0,US
145,savannakhet,16.566,104.751,24.82,1008.0,96.0,2.31,100.0,LA
146,pontianak,-0.0333,109.3333,25.55,1009.0,100.0,1.03,75.0,ID
147,salahonda,2.1019,-78.7217,27.47,1011.0,81.0,6.64,77.0,CO
148,opuwo,-18.0607,13.84,19.84,1016.0,23.0,3.8,9.0,
149,nar'yan-mar,67.6713,53.087,2.28,1007.0,100.0,6.26,100.0,RU
150,aurillac,44.9167,2.45,16.25,1018.0,51.0,2.57,0.0,FR
151,longyearbyen,78.2186,15.6401,-2.09,1010.0,64.0,2.06,75.0,SJ
152,plastun,44.7561,136.2939,2.83,1015.0,92.0,2.9,2.0,RU
153,la'ie,21.6477,-157.9253,25.18,1020.0,74.0,5.36,100.0,US
154,puerto baquerizo moreno,-0.9,-89.6,28.55,1010.0,84.0,7.2,0.0,EC
155,iskateley,67.6803,53.1512,2.23,1007.0,100.0,6.26,100.0,RU
156,pangody,65.85,74.4859,-7.29,1016.0,85.0,4.37,51.0,RU
157,dudinka,69.4058,86.1778,-12.4,1017.0,98.0,2.24,28.0,RU
158,san patricio,28.017,-97.5169,32.07,1007.0,51.0,8.32,4.0,US
159,nguruka,-5.1092,31.0419,22.54,1013.0,58.0,1.83,65.0,TZ
160,bilibino,68.0546,166.4372,-2.87,1023.0,73.0,1.59,43.0,RU
161,carutapera,-1.195,-46.02,27.99,1009.0,90.0,3.16,98.0,BR
162,margaret river,-33.95,115.0667,18.83,1011.0,68.0,7.98,1.0,AU
163,olyokminsk,60.3736,120.4264,11.56,1016.0,74.0,0.81,50.0,RU
164,sokoni,-6.4333,39.55,26.9,1015.0,78.0,8.48,83.0,TZ
165,west island,-12.1568,96.8225,26.99,1011.0,78.0,6.17,40.0,CC
166,ouesso,1.6136,16.0517,22.35,1012.0,98.0,1.55,100.0,CG
167,benghazi,32.1167,20.0667,23.93,1016.0,48.0,6.96,30.0,LY
168,kill devil hills,36.0307,-75.676,21.11,1012.0,96.0,1.54,75.0,US
169,cockburn town,21.4612,-71.1419,28.98,1014.0,70.0,5.14,40.0,TC
170,nemuro,43.3236,145.575,4.05,1006.0,93.0,9.79,100.0,JP
171,upata,8.0086,-62.3989,32.88,1010.0,39.0,3.21,100.0,VE
172,flying fish cove,-10.4217,105.6791,25.82,1012.0,94.0,4.12,100.0,CX
173,bardai,11.65,7.2333,32.42,1007.0,30.0,2.75,43.0,NG
174,kununurra,-15.7667,128.7333,17.99,1014.0,88.0,0.0,0.0,AU
175,mata-utu,-13.2816,-176.1745,29.11,1012.0,76.0,4.14,100.0,WF
176,colonia general alfredo stroessner,-25.3667,-55.7,13.19,1020.0,95.0,3.15,100.0,PY
177,buala,-8.145,159.5921,27.27,1010.0,87.0,3.34,72.0,SB
178,misratah,32.3754,15.0925,23.15,1012.0,59.0,9.25,12.0,LY
179,altamira,-3.2033,-52.2064,32.46,1008.0,60.0,1.18,85.0,BR
180,island harbour,50.724,-1.2758,15.76,1018.0,62.0,0.89,15.0,GB
181,richards bay,-28.783,32.0377,21.43,1023.0,87.0,3.44,33.0,ZA
182,dwarka,22.2394,68.9678,28.71,1003.0,85.0,6.5,0.0,IN
183,kukawa,12.9234,13.5606,33.4,1006.0,34.0,4.64,2.0,NG
184,mount gambier,-37.8333,140.7667,7.21,1027.0,97.0,1.74,100.0,AU
185,mossendjo,-2.9506,12.7261,22.56,1013.0,86.0,0.8,98.0,CG
186,toga village,,,,,,,,
187,anadyr,64.75,177.4833,0.0,1017.0,100.0,3.0,100.0,RU
188,coquimbo,-29.9533,-71.3436,15.85,1015.0,82.0,6.17,0.0,CL
189,egilsstadir,65.2653,-14.3948,12.95,1017.0,44.0,8.23,0.0,IS
190,klyuchi,52.2667,79.1667,13.71,1014.0,68.0,4.49,100.0,RU
191,gobabis,-22.45,18.9667,16.84,1020.0,31.0,3.93,2.0,
192,geraldton,-28.7667,114.6,16.23,1016.0,88.0,5.66,0.0,AU
193,varel,53.3969,8.1362,16.71,1018.0,88.0,5.22,94.0,DE
194,ciudad lazaro cardenas,17.9583,-102.2,29.85,1011.0,52.0,4.46,17.0,MX
195,nobres,-14.7203,-56.3275,32.26,1012.0,44.0,3.83,100.0,BR
196,al kharijah,25.4514,30.5464,31.0,1012.0,14.0,5.83,1.0,EG
197,yaring,6.8662,101.3689,26.96,1008.0,82.0,1.65,100.0,TH
198,kupang,-10.1667,123.5833,29.32,1012.0,89.0,5.14,20.0,ID
199,fada,9.5667,8.3,27.88,1010.0,56.0,2.08,74.0,NG
200,tekkali,18.6167,84.2333,29.63,1000.0,77.0,3.94,99.0,IN
201,frankenmuth,43.3317,-83.738,24.54,1012.0,43.0,3.09,0.0,US
202,kodiak,57.79,-152.4072,6.73,1006.0,87.0,1.54,100.0,US
203,tampakan,6.4442,124.9264,24.66,1009.0,95.0,0.51,98.0,PH
204,koneurgench,,,,,,,,
205,kilindoni,-7.9139,39.6668,26.9,1015.0,75.0,7.44,39.0,TZ
206,yaren,-0.5472,166.916,28.51,1010.0,77.0,5.39,28.0,NR
207,mahibadhoo,3.7833,72.9667,28.81,1009.0,80.0,9.47,100.0,MV
208,zhangjiajie,29.1294,110.4783,23.44,1008.0,88.0,0.76,28.0,CN
209,gamay,12.3854,125.2979,25.52,1008.0,96.0,3.52,100.0,PH
210,wynyard,-41.0,145.7167,8.51,1030.0,81.0,3.5,100.0,AU
211,islamkot,24.6997,70.177,29.94,1000.0,67.0,7.06,0.0,PK
212,papatowai,-46.5619,169.4708,8.23,1004.0,81.0,8.34,97.0,NZ
213,uturoa,-16.7333,-151.4333,27.28,1015.0,82.0,7.76,21.0,PF
214,saint-philippe,-21.3585,55.7679,20.77,1020.0,80.0,5.43,65.0,RE
215,caldwell,43.6629,-116.6874,18.93,1011.0,42.0,3.6,0.0,US
216,abraham's bay,,,,,,,,
217,malango,-2.9627,119.9001,19.46,1013.0,98.0,0.73,92.0,ID
218,yellowknife,62.456,-114.3525,16.82,1006.0,42.0,7.72,0.0,CA
219,horice,50.3661,15.6318,18.17,1016.0,82.0,1.36,77.0,CZ
220,tanout,14.9709,8.8879,37.0,1006.0,13.0,3.11,10.0,NE
221,tumayr,25.7039,45.868,34.29,1006.0,12.0,4.77,0.0,SA
222,milazzo,38.2212,15.2383,21.73,1016.0,62.0,2.68,4.0,IT
223,siavonga,-16.5382,28.7088,24.23,1017.0,58.0,0.26,71.0,ZM
224,grand falls-windsor,48.9332,-55.6649,11.95,1003.0,80.0,0.89,100.0,CA
