Unnamed: 0,city,latitude,logitude,temperature,pressure,humidity,wind_speed,cloudiness,country
339,igarka,67.4667,86.5833,-10.55,1018.0,95.0,2.24,26.0,RU
340,harper,4.375,-7.7169,27.51,1011.0,82.0,3.17,62.0,LR
341,nagqu,31.5,92.0,3.43,1013.0,81.0,2.21,56.0,CN
342,yemetsk,63.4721,41.7941,19.77,1016.0,41.0,4.29,56.0,RU
343,vernon,50.2581,-119.2691,17.55,1005.0,44.0,0.51,100.0,CA
344,santo antonio,-6.3106,-35.4789,28.67,1011.0,72.0,6.39,89.0,BR
345,al ghayzah,16.2079,52.176,29.52,1006.0,81.0,6.66,59.0,YE
346,vernio,44.0476,11.1505,19.07,1020.0,63.0,0.45,39.0,IT
347,klaksvik,62.2266,-6.589,12.51,1019.0,98.0,5.14,95.0,FO
348,vorkuta,67.5,64.0,-2.16,1011.0,96.0,7.15,100.0,RU
349,togur,58.3631,82.8265,2.86,1019.0,90.0,2.24,99.0,RU
350,korla,41.7597,86.1469,23.86,1005.0,38.0,1.28,61.0,CN
351,am djarass,,,,,,,,
352,dzhangala,49.2167,50.3333,12.48,1030.0,35.0,7.13,4.0,KZ
353,hobbs,32.7026,-103.136,27.48,1011.0,13.0,3.58,0.0,US
354,villa gesell,-37.2639,-56.973,8.92,1025.0,59.0,10.24,99.0,AR
355,yuzhno-kurilsk,44.0306,145.8556,3.54,1006.0,98.0,9.88,100.0,RU
356,wad az zaki,14.4619,32.2065,35.69,1007.0,18.0,0.82,55.0,SD
357,marquette,46.5333,-87.6335,11.07,1010.0,67.0,2.68,69.0,US
358,rukungiri,-0.8411,29.9419,18.1,1015.0,79.0,1.51,85.0,UG
359,usinsk,65.9939,57.5281,0.04,1020.0,80.0,5.81,100.0,RU
360,chernyshevskiy,63.0128,112.4714,11.64,1013.0,53.0,0.88,5.0,RU
361,chonchi,-42.6128,-73.8092,9.51,1024.0,67.0,1.45,100.0,CL
362,antofagasta,-23.65,-70.4,17.6,1015.0,76.0,3.21,51.0,CL
363,polyarnyy,69.1989,33.4478,3.4,1018.0,69.0,13.5,93.0,RU
364,tambopata,-12.7333,-69.1833,32.94,1011.0,55.0,2.06,40.0,PE
365,kazan,55.7887,49.1221,14.34,1029.0,62.0,4.82,95.0,RU
366,ketchikan,55.3422,-131.6461,8.43,1012.0,67.0,2.13,89.0,US
367,shefford,52.0387,-0.334,16.77,1018.0,66.0,2.57,20.0,GB
368,sinabang,2.4803,96.3801,28.08,1008.0,83.0,1.58,99.0,ID
369,minas de marcona,-15.2119,-75.1103,19.71,1014.0,49.0,5.58,5.0,PE
370,ahau,,,,,,,,
371,st. john's,47.5649,-52.7093,7.06,1006.0,95.0,2.57,100.0,CA
372,dondo,-19.6094,34.7431,22.73,1020.0,90.0,1.85,64.0,MZ
373,bani walid,31.7566,13.9942,26.38,1010.0,38.0,7.3,90.0,LY
374,hopelchen,19.7667,-89.85,39.52,1008.0,21.0,2.64,8.0,MX
375,praia da vitoria,38.7333,-27.0667,22.14,1016.0,64.0,6.19,40.0,PT
376,isla mujeres,21.2311,-86.731,31.76,1012.0,68.0,6.1,0.0,MX
377,lata,40.1629,-8.3327,19.49,1016.0,51.0,3.12,51.0,PT
378,sidi ifni,29.3797,-10.173,20.86,1017.0,75.0,6.26,24.0,MA
379,puerto la cruz,10.2167,-64.6167,28.37,1010.0,73.0,4.11,100.0,VE
380,namibe,-15.1961,12.1522,23.48,1012.0,80.0,1.78,23.0,AO
381,barnoldswick,53.9171,-2.1871,12.45,1019.0,83.0,0.94,99.0,GB
382,puerto cabezas,14.0351,-83.3888,32.98,1010.0,70.0,5.14,40.0,NI
383,masbate,12.3667,123.6167,26.09,1008.0,91.0,0.79,100.0,PH
384,poso,-1.3959,120.7524,25.54,1009.0,85.0,2.17,95.0,ID
385,tripoli,32.8752,13.1875,26.76,1009.0,50.0,12.47,1.0,LY
386,irara,-12.05,-38.7667,27.44,1014.0,56.0,5.16,4.0,BR
387,kurmuk,10.55,34.2833,27.25,1011.0,62.0,1.79,59.0,SD
388,toliara,-23.35,43.6667,20.97,1019.0,77.0,3.03,0.0,MG
389,amahai,-3.3333,128.9167,30.11,1008.0,89.0,1.38,95.0,ID
390,saksaul'skiy,,,,,,,,
391,aral,40.5156,81.2636,25.89,1005.0,28.0,4.32,64.0,CN
392,alakurtti,66.9672,30.3491,10.25,1019.0,60.0,5.36,90.0,RU
393,naze,28.3667,129.4833,21.76,1012.0,90.0,1.58,100.0,JP
394,merizo village,13.2658,144.6691,26.29,1011.0,91.0,7.33,93.0,GU
395,dubbo,-32.25,148.6167,7.07,1025.0,93.0,3.6,100.0,AU
396,chepo,9.1667,-79.1,30.98,1011.0,75.0,1.86,100.0,PA
397,morondava,-20.2833,44.2833,23.65,1018.0,68.0,5.62,5.0,MG
398,as sulayyil,20.4607,45.5779,36.14,1005.0,11.0,4.03,0.0,SA
399,filingue,14.3521,3.3168,40.4,1005.0,13.0,3.34,19.0,NE
400,vila velha,-20.3297,-40.2925,30.53,1016.0,64.0,4.63,0.0,BR
401,kiunga,-6.1219,141.2906,24.58,1010.0,96.0,0.85,76.0,PG
402,hasaki,35.7333,140.8333,19.22,1009.0,79.0,8.97,85.0,JP
403,turkmenbasy,40.0222,52.9552,18.43,1018.0,52.0,3.09,0.0,TM
404,andergrove,-21.0833,149.1833,16.94,1019.0,84.0,4.99,7.0,AU
405,cascais,38.6979,-9.4215,19.71,1016.0,69.0,7.2,20.0,PT
406,poronaysk,49.2167,143.1167,2.08,1012.0,95.0,2.39,100.0,RU
407,jiazi,22.8779,116.067,24.3,1009.0,95.0,2.04,100.0,CN
408,sauri,11.7266,6.7837,32.5,1007.0,31.0,2.3,71.0,NG
409,changli,39.7042,119.1506,17.42,1015.0,41.0,0.73,100.0,CN
410,ciudad bolivar,8.1222,-63.5497,36.42,1008.0,35.0,3.26,96.0,VE
411,demyansk,57.643,32.466,15.49,1029.0,69.0,2.79,23.0,RU
412,road town,18.4167,-64.6167,29.02,1014.0,79.0,3.6,75.0,VG
413,songea,-10.6833,35.65,15.96,1018.0,85.0,0.86,60.0,TZ
414,baidoa,3.1138,43.6498,24.02,1013.0,86.0,5.04,100.0,SO
415,saint-joseph,-21.3667,55.6167,20.21,1020.0,79.0,5.79,35.0,RE
416,st. paul,44.9444,-93.0933,21.55,1000.0,69.0,8.23,40.0,US
417,dhidhdhoo,6.8833,73.1,29.28,1008.0,77.0,8.32,100.0,MV
418,itoman,26.1247,127.6694,24.0,1012.0,100.0,1.54,100.0,JP
419,adrar,20.5022,-10.0711,37.48,1010.0,11.0,5.1,14.0,MR
420,junction city,39.0286,-96.8314,22.4,1009.0,42.0,6.69,0.0,US
421,kirensk,57.7853,108.1119,10.54,1017.0,79.0,1.79,50.0,RU
422,victoria,22.2855,114.1577,25.47,1009.0,94.0,2.68,87.0,HK
423,kitgum,3.2783,32.8867,20.64,1013.0,88.0,1.18,89.0,UG
424,cabano,10.5869,122.7002,24.86,1008.0,90.0,2.7,100.0,PH
425,fale old settlement,-9.3852,-171.2468,28.66,1012.0,78.0,3.61,31.0,TK
426,moranbah,-22.0016,148.0466,14.84,1021.0,97.0,3.86,4.0,AU
427,franceville,-1.6333,13.5836,23.37,1012.0,93.0,0.74,100.0,GA
428,filadelfia,39.9523,-75.1638,29.67,1009.0,34.0,4.12,40.0,US
429,kerikeri,-35.2268,173.9474,11.06,1011.0,93.0,0.45,24.0,NZ
430,kpandu,6.9954,0.2931,31.12,1009.0,57.0,0.84,57.0,GH
431,ji'an,27.1172,114.9793,24.66,1008.0,86.0,1.7,18.0,CN
432,acarau,-2.8856,-40.12,29.75,1010.0,72.0,4.72,86.0,BR
433,jawf al maqbabah,13.8378,45.8349,30.04,1011.0,41.0,2.86,0.0,YE
434,devinuwara,,,,,,,,
435,port blair,11.6667,92.75,29.13,1003.0,83.0,10.3,100.0,IN
436,shantou,23.3681,116.7148,22.92,1010.0,100.0,1.0,75.0,CN
437,jawhar,2.7809,45.5005,26.56,1013.0,74.0,6.68,98.0,SO
438,howard springs,-12.497,131.047,22.91,1012.0,96.0,1.88,64.0,AU
439,port lincoln,-34.7333,135.8667,14.08,1024.0,77.0,3.79,47.0,AU
440,batticaloa,7.7102,81.6924,28.28,1005.0,70.0,1.68,99.0,LK
441,kendari,-3.945,122.4989,24.14,1010.0,96.0,1.42,91.0,ID
442,mogadishu,2.0371,45.3438,27.1,1013.0,83.0,7.29,81.0,SO
443,punta cana,18.5818,-68.4043,27.87,1013.0,65.0,2.06,75.0,DO
444,lionel town,17.8101,-77.2406,34.39,1012.0,55.0,4.38,4.0,JM
445,magadan,59.5667,150.8,8.07,1018.0,77.0,2.27,94.0,RU
446,rurrenabaque,-14.4413,-67.5278,29.94,1012.0,74.0,0.0,40.0,BO
447,totness,5.8833,-56.3167,24.86,1011.0,94.0,4.42,100.0,SR
448,pasuquin,18.3328,120.6177,26.97,1008.0,89.0,2.06,75.0,PH
449,posto fiscal rolim de moura,-13.0833,-62.2667,30.38,1011.0,59.0,3.31,85.0,BR
450,baardheere,2.3446,42.2764,26.44,1013.0,78.0,6.41,79.0,SO
451,tongliao,43.6125,122.2653,14.13,1016.0,40.0,3.21,58.0,CN
452,novovarshavka,54.1721,74.6946,6.02,1020.0,66.0,5.22,100.0,RU
453,puke,42.0444,19.8997,15.48,1018.0,87.0,0.73,26.0,AL
454,lubang,13.8584,120.124,29.53,1008.0,78.0,6.31,100.0,PH
455,cargados carajos,,,,,,,,
456,arkhangel'sk,64.5401,40.5433,22.06,1013.0,40.0,4.0,40.0,RU
457,tofol,5.3248,163.0078,28.8,1010.0,77.0,5.29,63.0,FM
458,tadine,-21.55,167.8833,19.4,1018.0,63.0,3.64,18.0,NC
459,fredericksburg,38.3032,-77.4605,28.14,1008.0,58.0,2.57,75.0,US
460,makuyuni,-4.7333,38.1,22.0,1017.0,85.0,2.26,80.0,TZ
461,tranovaho,,,,,,,,
462,kone,-21.0595,164.8658,16.2,1019.0,77.0,1.34,5.0,NC
463,smithville,39.3869,-94.5811,23.58,1005.0,62.0,8.23,100.0,US
464,montepuez,-13.1256,38.9997,22.41,1017.0,55.0,1.56,100.0,MZ
465,cambria,35.5641,-121.0808,15.1,1015.0,74.0,3.13,98.0,US
466,'ohonua,,,,,,,,
467,strezhevoy,60.7333,77.5889,2.76,1019.0,75.0,2.68,100.0,RU
468,lycksele,64.5954,18.6735,18.93,1019.0,72.0,3.6,0.0,SE
469,bir el ater,34.7449,8.0602,24.09,1013.0,28.0,7.89,72.0,DZ
470,doganyol,38.3118,39.0382,16.81,1008.0,70.0,2.01,2.0,TR
471,chinhoyi,-17.3667,30.2,18.03,1019.0,60.0,1.48,99.0,ZW
472,la ronge,55.1001,-105.2842,7.14,1013.0,57.0,3.09,75.0,CA
473,miquelon,47.0975,-56.3814,8.0,1006.0,100.0,1.72,100.0,PM
474,nabire,-3.3667,135.4833,25.35,1008.0,94.0,1.52,100.0,ID
475,bakchar,57.0186,82.0711,3.17,1019.0,98.0,2.44,100.0,RU
476,pueblo nuevo,23.3833,-105.3833,27.42,1011.0,17.0,4.13,9.0,MX
477,birjand,32.8663,59.2211,24.26,1015.0,25.0,2.06,0.0,IR
478,grants pass,42.439,-123.3284,17.83,1013.0,54.0,3.09,0.0,US
479,padang,-0.9492,100.3543,27.03,1009.0,89.0,2.45,99.0,ID
480,terenos,-20.4422,-54.8603,17.84,1018.0,100.0,4.63,75.0,BR
481,greenwood,34.1668,-82.1165,30.7,1014.0,55.0,4.63,20.0,US
482,san nicolas de bari,22.7844,-81.9133,33.98,1012.0,31.0,1.76,0.0,CU
483,sao joao da barra,-21.6403,-41.0511,33.05,1013.0,71.0,4.02,3.0,BR
484,queenstown,-31.8976,26.8753,11.21,1025.0,95.0,2.14,38.0,ZA
485,savsjo,,,,,,,,
486,porto novo,6.4965,2.6036,28.34,1010.0,78.0,5.04,58.0,BJ
487,port-cartier,50.0334,-66.8654,7.93,1004.0,93.0,3.36,100.0,CA
488,timbuktu,16.7735,-3.0074,42.34,1005.0,10.0,1.31,40.0,ML
489,fort mcmurray,56.7268,-111.381,14.73,1009.0,44.0,3.09,100.0,CA
490,gilgit,35.9221,74.3087,19.36,1016.0,57.0,0.95,100.0,PK
491,necochea,-38.5473,-58.7368,8.71,1027.0,49.0,7.02,99.0,AR
492,crane,31.3974,-102.3501,33.44,1007.0,6.0,4.71,59.0,US
493,okakarara,-20.5833,17.4333,15.14,1019.0,29.0,2.13,4.0,
494,nouadhibou,20.931,-17.0347,22.99,1013.0,56.0,9.26,19.0,MR
495,cruzeiro do sul,-29.5128,-51.9853,15.5,1012.0,94.0,5.1,100.0,BR
496,madugula,17.9167,82.8,29.58,1002.0,85.0,1.11,100.0,IN
497,yagry,,,,,,,,
498,ponta delgada,37.7333,-25.6667,19.4,1016.0,94.0,5.14,75.0,PT
499,masterton,-40.9597,175.6575,6.72,1009.0,89.0,0.47,99.0,NZ
500,san antonio de pale,-1.4014,5.6325,26.8,1013.0,76.0,1.84,99.0,GQ
501,le vauclin,14.5452,-60.8388,32.03,1012.0,58.0,7.72,40.0,MQ
502,cabinda,-5.55,12.2,25.77,1012.0,83.0,3.28,69.0,AO
503,arthur's town,,,,,,,,
504,khamis mushait,18.3064,42.7292,25.34,1024.0,44.0,3.09,40.0,SA
505,sainte-anne-des-monts,49.124,-66.4924,6.93,1003.0,100.0,4.63,100.0,CA
506,nioki,-2.7167,17.6833,23.45,1011.0,88.0,1.42,100.0,CD
507,sinan,34.8262,126.1086,16.06,1015.0,87.0,2.01,22.0,KR
508,maceio,-9.6658,-35.7353,25.69,1013.0,83.0,5.66,75.0,BR
509,brandfort,-28.7001,26.4597,11.67,1022.0,43.0,2.4,0.0,ZA
510,ouani,-12.1322,44.4258,25.69,1016.0,72.0,4.43,93.0,KM
511,bagnara calabra,38.2885,15.8078,20.99,1018.0,58.0,1.07,5.0,IT
512,broome,42.2506,-75.833,25.72,995.0,47.0,4.63,40.0,US
513,jiuquan,39.7432,98.5174,21.58,1005.0,28.0,2.15,18.0,CN
514,huarmey,-10.0681,-78.1522,21.37,1015.0,77.0,4.69,59.0,PE
515,morden,49.1919,-98.1014,5.16,999.0,100.0,7.72,100.0,CA
516,caleta de carquin,-11.0925,-77.6267,20.39,1015.0,75.0,4.42,56.0,PE
517,brazzaville,-4.2658,15.2832,27.53,1011.0,67.0,2.8,87.0,CG
518,fortaleza,-3.7227,-38.5247,31.49,1008.0,85.0,4.12,40.0,BR
519,chandla,25.0833,80.2,36.71,998.0,25.0,2.75,0.0,IN
520,adh dhibiyah,,,,,,,,
521,kajaani,64.2273,27.7285,18.03,1020.0,55.0,6.69,0.0,FI
522,chinde,26.8418,88.0763,22.77,1005.0,56.0,2.66,19.0,NP
523,barcelos,41.5388,-8.6151,21.66,1016.0,61.0,1.57,53.0,PT
524,kismayo,-0.3582,42.5454,26.54,1013.0,86.0,7.74,97.0,SO
525,alofi,-19.0595,-169.9187,24.94,1013.0,94.0,2.06,100.0,NU
526,bujalance,37.8956,-4.3807,30.55,1012.0,24.0,3.76,29.0,ES
527,de aar,-30.6497,24.0123,17.87,1021.0,35.0,2.52,3.0,ZA
528,hammerfest,70.6634,23.6821,4.25,1020.0,70.0,8.23,75.0,NO
529,portland,45.5234,-122.6762,15.72,1013.0,70.0,1.54,100.0,US
530,warman,52.3168,-106.5679,12.72,1007.0,50.0,6.17,100.0,CA
531,sultanah,24.4926,39.5857,39.25,1009.0,6.0,6.17,0.0,SA
532,nogliki,51.8333,143.1667,0.19,1014.0,94.0,2.68,74.0,RU
533,gremda,34.75,10.7833,24.11,1012.0,64.0,6.69,20.0,TN
534,ojinaga,29.5667,-104.4167,33.53,1014.0,12.0,4.12,0.0,MX
535,enumclaw,47.2043,-121.9915,12.23,1009.0,79.0,1.79,100.0,US
536,mersing,2.4312,103.8405,25.95,1009.0,94.0,2.57,20.0,MY
537,dar naim,,,,,,,,
538,freeport,40.6576,-73.5832,28.85,1009.0,32.0,4.63,20.0,US
539,diego de almagro,-26.3667,-70.05,24.1,1013.0,17.0,3.29,65.0,CL
540,general villegas,-35.0328,-63.0125,10.73,1029.0,48.0,3.24,78.0,AR
541,puerto aysen,-45.4,-72.7,7.01,1028.0,63.0,2.02,10.0,CL
542,burang,30.25,81.1667,6.24,1018.0,78.0,1.96,24.0,CN
543,boquete,8.7833,-82.4333,24.64,1014.0,74.0,1.18,82.0,PA
544,troitsko-pechorsk,62.7084,56.1964,5.39,1023.0,43.0,2.68,100.0,RU
545,philipsburg,18.026,-63.0458,31.81,1015.0,69.0,5.14,20.0,SX
546,alto araguaia,-17.3147,-53.2153,27.08,1013.0,47.0,3.29,95.0,BR
547,dauphin,51.1494,-100.0502,3.08,1008.0,93.0,8.75,100.0,CA
548,bouarfa,32.53,-1.95,29.56,1008.0,8.0,2.28,1.0,MA
549,jiwani,25.05,61.7417,31.11,1001.0,70.0,0.84,1.0,PK
550,cukai,4.25,103.4167,24.97,1008.0,88.0,1.08,100.0,MY
551,portstewart,55.1813,-6.714,12.4,1017.0,80.0,1.33,100.0,GB
552,selibaby,15.159,-12.1829,43.09,1005.0,12.0,2.97,27.0,MR
553,arno,60.1167,18.6333,10.44,1021.0,73.0,2.21,94.0,SE
554,melekeok village,7.4957,134.6367,26.31,1009.0,94.0,0.0,75.0,PW
555,lorengau,-2.0226,147.2712,27.61,1009.0,84.0,3.66,89.0,PG
556,brisas de zicatela,15.8369,-97.0419,32.29,1011.0,74.0,3.6,0.0,MX
557,ridder,50.355,83.5133,12.93,1012.0,66.0,2.11,100.0,KZ
558,salavan,15.7167,106.4167,23.74,1008.0,97.0,1.26,93.0,LA
559,nantucket,41.2835,-70.0995,18.1,1009.0,82.0,5.14,0.0,US
560,guangming,45.3333,122.7833,14.48,1016.0,32.0,2.1,92.0,CN
561,jinchang,38.4953,102.1739,17.25,1009.0,67.0,1.98,71.0,CN
562,nadi,-17.8,177.4167,25.0,1013.0,83.0,2.57,40.0,FJ
563,kamiiso,41.8167,140.65,9.21,1010.0,71.0,6.17,75.0,JP
564,severo-yeniseyskiy,60.3725,93.0408,3.65,1014.0,95.0,1.34,100.0,RU
565,shatrovo,56.5167,64.6333,1.47,1025.0,56.0,1.27,59.0,RU
566,sao jose da coroa grande,-8.8978,-35.1478,28.13,1012.0,72.0,5.76,57.0,BR
567,chibougamau,49.9168,-74.3659,10.79,1007.0,66.0,4.12,100.0,CA
568,namtsy,62.7161,129.6658,7.56,1016.0,82.0,2.34,14.0,RU
569,amos,48.5669,-78.1162,12.86,1011.0,53.0,3.58,93.0,CA
570,coahuayana de hidalgo,18.7,-103.6583,33.3,1011.0,37.0,3.31,3.0,MX
571,vilyuysk,63.7553,121.6247,14.44,1015.0,55.0,1.34,9.0,RU
572,tahe,52.3333,124.7333,7.95,1016.0,54.0,1.72,3.0,CN
573,cuorgne,45.3895,7.6499,15.56,1015.0,83.0,1.26,89.0,IT
574,el alto,-4.2714,-81.2147,23.81,1012.0,70.0,8.1,12.0,PE
575,smithers,54.7804,-127.1743,12.18,1007.0,66.0,2.06,75.0,CA
576,tabou,4.423,-7.3528,28.11,1011.0,77.0,3.32,43.0,CI
577,port saint john's,-31.6229,29.5448,19.99,1025.0,84.0,2.98,91.0,ZA
578,thief river falls,48.1191,-96.1812,8.96,997.0,100.0,6.69,100.0,US
579,chiang khong,20.2613,100.4046,23.08,1007.0,99.0,0.4,77.0,TH
580,nikolayevsk-on-amure,53.1406,140.73,1.23,1016.0,88.0,1.79,38.0,RU
581,coronado,32.6859,-117.1831,17.16,1015.0,77.0,3.6,100.0,US
582,anar darah,32.7587,61.654,27.84,1007.0,32.0,4.48,20.0,AF
583,manokwari,-0.8667,134.0833,27.69,1008.0,76.0,2.72,80.0,ID
584,tidjikja,18.5564,-11.4271,39.65,1009.0,10.0,5.59,100.0,MR
585,port douglas,-16.4833,145.4667,22.69,1017.0,84.0,4.11,79.0,AU
586,luganville,-15.5333,167.1667,24.64,1014.0,88.0,4.36,100.0,VU
587,luuq,3.7938,42.5445,28.65,1012.0,67.0,6.86,98.0,SO
588,masons bay,,,,,,,,
589,slave lake,55.2834,-114.769,12.99,1006.0,44.0,3.6,75.0,CA
590,dakoro,14.5106,6.765,37.46,1006.0,8.0,4.07,90.0,NE
591,al hazm,16.1641,44.7769,33.44,1008.0,12.0,3.82,11.0,YE
592,miyanoura,,,,,,,,
593,pingyi,35.5006,117.6308,18.95,1013.0,80.0,3.55,8.0,CN
594,yen bai,21.7,104.8667,25.14,1007.0,96.0,0.78,97.0,VN
